name;0.4.26;0.4.26opt;0.5.17;0.5.17opt;0.6.12;0.6.12opt;0.7.6;0.7.6opt;0.8.24;0.8.24opt
uint8ofpp;0;0;0;0;0;0;0;0;revert;revert
uint8ofpe;0;0;0;0;0;0;0;0;revert;revert
uint8ofadd;0;0;0;0;0;0;0;0;revert;revert
uint8ofte;254;254;254;254;254;254;254;254;revert;revert
uint8ofmul;254;254;254;254;254;254;254;254;revert;revert
uint8ofexp;1;1;1;1;1;1;1;1;revert;revert
uint8ufmm;255;255;255;255;255;255;255;255;revert;revert
uint8ufme;255;255;255;255;255;255;255;255;revert;revert
uint8ufsub;255;255;255;255;255;255;255;255;revert;revert
uint8divzero;Compiler Error;Compiler Error;Compiler Error;Compiler Error;Compiler Error;Compiler Error;Compiler Error;Compiler Error;Compiler Error;Compiler Error
uint8divzerovariable;revert;revert;revert;revert;revert;revert;revert;revert;revert;revert
uint8divzerose;revert;revert;revert;revert;revert;revert;revert;revert;revert;revert
uint8divzerosevariable;revert;revert;revert;revert;revert;revert;revert;revert;revert;revert
uint8modzero;Compiler Error;Compiler Error;Compiler Error;Compiler Error;Compiler Error;Compiler Error;Compiler Error;Compiler Error;Compiler Error;Compiler Error
uint8modzerovariable;revert;revert;revert;revert;revert;revert;revert;revert;revert;revert
uint8modzerope;revert;revert;revert;revert;revert;revert;revert;revert;revert;revert
uint8modzeropevariable;revert;revert;revert;revert;revert;revert;revert;revert;revert;revert
uint8truncinline;255;255;255;255;255;255;255;255;Compiler Error;Compiler Error
uint8truncvariable;255;255;255;255;255;255;255;255;255;255
uint8assignmentinline;255;255;255;255;255;255;255;255;Compiler Error;Compiler Error
uint8assignmentvariable;255;255;255;255;255;255;255;255;Compiler Error;Compiler Error
uint16ofpp;0;0;0;0;0;0;0;0;revert;revert
uint16ofpe;0;0;0;0;0;0;0;0;revert;revert
uint16ofadd;0;0;0;0;0;0;0;0;revert;revert
uint16ofte;65534;65534;65534;65534;65534;65534;65534;65534;revert;revert
uint16ofmul;65534;65534;65534;65534;65534;65534;65534;65534;revert;revert
uint16ofexp;1;1;1;1;1;1;1;1;revert;revert
uint16ufmm;65535;65535;65535;65535;65535;65535;65535;65535;revert;revert
uint16ufme;65535;65535;65535;65535;65535;65535;65535;65535;revert;revert
uint16ufsub;65535;65535;65535;65535;65535;65535;65535;65535;revert;revert
uint16divzero;Compiler Error;Compiler Error;Compiler Error;Compiler Error;Compiler Error;Compiler Error;Compiler Error;Compiler Error;Compiler Error;Compiler Error
uint16divzerovariable;revert;revert;revert;revert;revert;revert;revert;revert;revert;revert
uint16divzerose;revert;revert;revert;revert;revert;revert;revert;revert;revert;revert
uint16divzerosevariable;revert;revert;revert;revert;revert;revert;revert;revert;revert;revert
uint16modzero;Compiler Error;Compiler Error;Compiler Error;Compiler Error;Compiler Error;Compiler Error;Compiler Error;Compiler Error;Compiler Error;Compiler Error
uint16modzerovariable;revert;revert;revert;revert;revert;revert;revert;revert;revert;revert
uint16modzerope;revert;revert;revert;revert;revert;revert;revert;revert;revert;revert
uint16modzeropevariable;revert;revert;revert;revert;revert;revert;revert;revert;revert;revert
uint16truncinline;65535;65535;65535;65535;65535;65535;65535;65535;Compiler Error;Compiler Error
uint16truncvariable;65535;65535;65535;65535;65535;65535;65535;65535;65535;65535
uint16assignmentinline;65535;65535;65535;65535;65535;65535;65535;65535;Compiler Error;Compiler Error
uint16assignmentvariable;65535;65535;65535;65535;65535;65535;65535;65535;Compiler Error;Compiler Error
uint24ofpp;0;0;0;0;0;0;0;0;revert;revert
uint24ofpe;0;0;0;0;0;0;0;0;revert;revert
uint24ofadd;0;0;0;0;0;0;0;0;revert;revert
uint24ofte;16777214;16777214;16777214;16777214;16777214;16777214;16777214;16777214;revert;revert
uint24ofmul;16777214;16777214;16777214;16777214;16777214;16777214;16777214;16777214;revert;revert
uint24ofexp;1;1;1;1;1;1;1;1;revert;revert
uint24ufmm;16777215;16777215;16777215;16777215;16777215;16777215;16777215;16777215;revert;revert
uint24ufme;16777215;16777215;16777215;16777215;16777215;16777215;16777215;16777215;revert;revert
