"type";"min_value";"max_value";"tags"
"uint8";"0";"2**8 - 1";"[""all"", ""unsigned"",""unsigned1""]"
"uint16";"0";"2**16 - 1";"[""all"", ""unsigned"",""unsigned1""]"
"uint24";"0";"2**24 - 1";"[""all"", ""unsigned"",""unsigned1""]"
"uint32";"0";"2**32 - 1";"[""all"", ""unsigned"",""unsigned1""]"
"uint40";"0";"2**40 - 1";"[""all"", ""unsigned"",""unsigned1""]"
"uint48";"0";"2**48 - 1";"[""all"", ""unsigned"",""unsigned1""]"
"uint56";"0";"2**56 - 1";"[""all"", ""unsigned"",""unsigned1""]"
"uint64";"0";"2**64 - 1";"[""all"", ""unsigned"",""unsigned1""]"
"uint72";"0";"2**72 - 1";"[""all"", ""unsigned"",""unsigned1""]"
"uint80";"0";"2**80 - 1";"[""all"", ""unsigned"",""unsigned1""]"
"uint88";"0";"2**88 - 1";"[""all"", ""unsigned"",""unsigned1""]"
"uint96";"0";"2**96 - 1";"[""all"", ""unsigned"",""unsigned1""]"
"uint104";"0";"2**104 - 1";"[""all"", ""unsigned"",""unsigned1""]"
"uint112";"0";"2**112 - 1";"[""all"", ""unsigned"",""unsigned1""]"
"uint120";"0";"2**120 - 1";"[""all"", ""unsigned"",""unsigned1""]"
"uint128";"0";"2**128 - 1";"[""all"", ""unsigned"",""unsigned1""]"
"uint136";"0";"2**136 - 1";"[""all"", ""unsigned"",""unsigned1""]"
"uint144";"0";"2**144 - 1";"[""all"", ""unsigned"",""unsigned1""]"
"uint152";"0";"2**152 - 1";"[""all"", ""unsigned"",""unsigned1""]"
"uint160";"0";"2**160 - 1";"[""all"", ""unsigned"",""unsigned1""]"
"uint168";"0";"2**168 - 1";"[""all"", ""unsigned"",""unsigned1""]"
"uint176";"0";"2**176 - 1";"[""all"", ""unsigned"",""unsigned1""]"
"uint184";"0";"2**184 - 1";"[""all"", ""unsigned"",""unsigned1""]"
"uint192";"0";"2**192 - 1";"[""all"", ""unsigned"",""unsigned1""]"
"uint200";"0";"2**200 - 1";"[""all"", ""unsigned"",""unsigned1""]"
"uint208";"0";"2**208 - 1";"[""all"", ""unsigned"",""unsigned1""]"
"uint216";"0";"2**216 - 1";"[""all"", ""unsigned"",""unsigned1""]"
"uint224";"0";"2**224 - 1";"[""all"", ""unsigned"",""unsigned1""]"
"uint232";"0";"2**232 - 1";"[""all"", ""unsigned"",""unsigned1""]"
"uint240";"0";"2**240 - 1";"[""all"", ""unsigned"",""unsigned1""]"
"uint248";"0";"2**248 - 1";"[""all"", ""unsigned"",""unsigned1""]"
"uint256";"0";"2**256 - 1";"[""all"", ""unsigned""]"
"uint";"0";"2**256 - 1";"[""all"", ""unsigned""]"
"int8";"-2**7";"2**7 - 1";"[""all"", ""signed"",""signed1""]"
"int16";"-2**15";"2**15 - 1";"[""all"", ""signed"",""signed1""]"
"int24";"-2**23";"2**23 - 1";"[""all"", ""signed"",""signed1""]"
"int32";"-2**31";"2**31 - 1";"[""all"", ""signed"",""signed1""]"
"int40";"-2**39";"2**39 - 1";"[""all"", ""signed"",""signed1""]"
"int48";"-2**47";"2**47 - 1";"[""all"", ""signed"",""signed1""]"
"int56";"-2**55";"2**55 - 1";"[""all"", ""signed"",""signed1""]"
"int64";"-2**63";"2**63 - 1";"[""all"", ""signed"",""signed1""]"
"int72";"-2**71";"2**71 - 1";"[""all"", ""signed"",""signed1""]"
"int80";"-2**79";"2**79 - 1";"[""all"", ""signed"",""signed1""]"
"int88";"-2**87";"2**87 - 1";"[""all"", ""signed"",""signed1""]"
"int96";"-2**95";"2**95 - 1";"[""all"", ""signed"",""signed1""]"
"int104";"-2**103";"2**103 - 1";"[""all"", ""signed"",""signed1""]"
"int112";"-2**111";"2**111 - 1";"[""all"", ""signed"",""signed1""]"
"int120";"-2**119";"2**119 - 1";"[""all"", ""signed"",""signed1""]"
"int128";"-2**127";"2**127 - 1";"[""all"", ""signed"",""signed1""]"
"int136";"-2**135";"2**135 - 1";"[""all"", ""signed"",""signed1""]"
"int144";"-2**143";"2**143 - 1";"[""all"", ""signed"",""signed1""]"
"int152";"-2**151";"2**151 - 1";"[""all"", ""signed"",""signed1""]"
"int160";"-2**159";"2**159 - 1";"[""all"", ""signed"",""signed1""]"
"int168";"-2**167";"2**167 - 1";"[""all"", ""signed"",""signed1""]"
"int176";"-2**175";"2**175 - 1";"[""all"", ""signed"",""signed1""]"
"int184";"-2**183";"2**183 - 1";"[""all"", ""signed"",""signed1""]"
"int192";"-2**191";"2**191 - 1";"[""all"", ""signed"",""signed1""]"
"int200";"-2**199";"2**199 - 1";"[""all"", ""signed"",""signed1""]"
"int208";"-2**207";"2**207 - 1";"[""all"", ""signed"",""signed1""]"
"int216";"-2**215";"2**215 - 1";"[""all"", ""signed"",""signed1""]"
"int224";"-2**223";"2**223 - 1";"[""all"", ""signed"",""signed1""]"
"int232";"-2**231";"2**231 - 1";"[""all"", ""signed"",""signed1""]"
"int240";"-2**239";"2**239 - 1";"[""all"", ""signed"",""signed1""]"
"int248";"-2**247";"2**247 - 1";"[""all"", ""signed"",""signed1""]"
"int256";"-2**255";"2**255 - 1";"[""all"", ""signed""]"
"int";"-2**255";"2**255 - 1";"[""all"", ""signed""]"
